Locality,Zip Code,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Garden,Swimming Pool,Surface of the Land (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Url,Price/m2,Price/m2 Ratio,Price Ratio,Zip Code Score,Type of Property Score,Number of Rooms Score,Livable Space (m2) Score,Surface of the Land (m2) Score,State of the Building Score,Primary Energy Consumption (kWh/m2) Score
Braine-lalleud,1420,Apartment,apartment,395000,2,97,1,0,0,1,0,0,0,6,0,5,https://www.immoweb.be/en/classified/apartment/for-sale/braine-l%27alleud/1420/20298858,4072.1649484536083,0.016898986015995,0.11969696969696969,0.23369026013309135,0.5310389297181993,0.27015323944133907,0.12175728513038973,0.11752180671513664,1.0,0.2610471689017736
Ixelles,1050,Apartment,apartment,345000,2,115,1,0,0,1,0,0,0,0,711,3,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20288227,3000.0,0.012449632735834293,0.10454545454545454,0.27260251475613545,0.5310389297181993,0.27015323944133907,0.13166391687294915,0.11752180671513664,0.7497975974989369,0.17293233082706766
Wezembeek-oppem,1970,House,house,560000,3,140,1,0,0,0,1,0,464,4,0,2,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/20264403,4000.0,0.016599510314445724,0.1696969696969697,0.24204433497536945,1.0,0.3869261187378436,0.15538628016390954,0.21574672727272728,0.7550873775720708,0.2610471689017736
Mons,7000,Apartment,apartment,115000,1,48,1,0,0,1,0,0,0,3,320,3,https://www.immoweb.be/en/classified/apartment/for-sale/mons/7000/20320253,2395.8333333333335,0.009942415032089888,0.03484848484848485,0.08735632183908046,0.5310389297181993,0.18192867130434218,0.062362249582637724,0.11752180671513664,0.7497975974989369,0.28967874231032126
Waterloo,1410,House,house,485000,5,168,0,0,0,1,1,0,477,3,317,1,https://www.immoweb.be/en/classified/house/for-sale/waterloo/1410/20324418,2886.904761904762,0.011980301343015143,0.14696969696969697,0.2558438133874239,1.0,0.7595340137453207,0.16824966372525638,0.1505050505050505,0.9099970571041955,0.2632748538011696
Ixelles,1050,Apartment,apartment,159000,1,46,1,0,0,0,0,0,0,0,670,2,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20319445,3456.521739130435,0.01434414206520038,0.04818181818181818,0.27260251475613545,0.5310389297181993,0.18192867130434218,0.06678674984623495,0.11752180671513664,0.7550873775720708,0.07969924812030076
Heusden-zolder,3550,House,villa,639000,2,221,0,0,0,0,0,0,1746,4,242,5,https://www.immoweb.be/en/classified/villa/for-sale/heusden-zolder/3550/20323885,2891.402714932127,0.011998967297433051,0.19363636363636363,0.1710245905172414,1.0,0.27015323944133907,0.2744487664626229,0.16636363636363638,1.0,0.32781954887218046
Antwerpen,2018,House,house,1050000,3,286,1,0,0,0,1,0,343,5,147,0,https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2018/20325613,3671.328671328671,0.015235564536860147,0.3181818181818182,0.19513071198213844,1.0,0.3869261187378436,0.30105731775180855,0.18667945454545457,0.7547116896058398,0.28149786230281587
Vilvoorde,1800,Apartment,apartment,218000,1,70,0,0,0,1,0,0,0,5,166,3,https://www.immoweb.be/en/classified/apartment/for-sale/vilvoorde/1800/20266109,3114.285714285714,0.01292390445910417,0.06606060606060606,0.14085330344827585,0.5310389297181993,0.18192867130434218,0.08964829232521491,0.11752180671513664,0.7497975974989369,0.29481311975591157
Zelzate,9060,House,bungalow,325000,3,129,1,0,0,0,1,0,681,2,0,3,https://www.immoweb.be/en/classified/bungalow/for-sale/zelzate/9060/20260268,2519.3798449612405,0.010455117930610195,0.09848484848484848,0.13055172413793104,1.0,0.3869261187378436,0.14455299236100572,0.13787878787878788,0.7497975974989369,0.2610471689017736
Sint-genesius-rode,1640,House,house,285000,2,79,0,0,1,0,0,0,160,1,640,1,https://www.immoweb.be/en/classified/house/for-sale/sint-genesius-rode/1640/20203873,3607.5949367088606,0.014971077340560225,0.08636363636363636,0.4183620689655172,1.0,0.27015323944133907,0.10130110183639399,0.17769000000000001,0.9099970571041955,0.15035087719298246
Oostende,8400,Apartment,apartment,160000,1,67,1,0,0,0,0,0,0,5,158,5,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20294145,2388.0597014925374,0.009910155411609388,0.048484848484848485,0.1313725168665667,0.5310389297181993,0.18192867130434218,0.09070348497495827,0.11752180671513664,1.0,0.19843000358037954
Gent,9000,House,house,289500,3,100,0,0,0,0,0,0,44,3,338,3,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11469530,2895.0,0.012013895590080093,0.08772727272727272,0.17972830880082344,1.0,0.3869261187378436,0.12756153144129104,0.13732323232323232,0.7497975974989369,0.3006683040935673
Molenbeek-saint-jean,1080,Apartment,apartment,170000,1,70,1,0,0,1,0,0,0,3,190,3,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20237092,2428.5714285714284,0.010078274119484903,0.051515151515151514,0.10020019157088123,0.5310389297181993,0.18192867130434218,0.08964829232521491,0.11752180671513664,0.7497975974989369,0.36603174603174604
Zottegem,9620,House,house,559000,3,207,1,0,0,0,0,0,622,5,140,3,https://www.immoweb.be/en/classified/house/for-sale/zottegem/9620/20312246,2700.4830917874397,0.01120667423402797,0.1693939393939394,0.1530019540229885,1.0,0.3869261187378436,0.21485499361681232,0.20373737373737374,0.7497975974989369,0.23138775510204082
Alken,3570,House,villa,765000,4,320,1,0,0,0,0,0,2320,3,307,3,https://www.immoweb.be/en/classified/villa/for-sale/alken/3570/20312342,2390.625,0.009920801086367953,0.2318181818181818,0.17240344827586207,1.0,0.5711504895801999,0.38807690236415526,0.2318181818181818,0.7497975974989369,0.1917100443416233
Herzele,9552,House,house,499850,4,177,1,0,0,1,0,0,357,6,50,0,https://www.immoweb.be/en/classified/house/for-sale/herzele/9552/20328397,2824.0112994350284,0.011719301173270755,0.15146969696969698,0.23492528735632187,1.0,0.5711504895801999,0.17385372048652514,0.16649242424242425,0.7547116896058398,0.27162822681704263
